,Country,Year,Region,Democracy Index,energy_cons,rail_cargo,urban_per,service_per,GDP
215,Armenia,2016,Central and Eastern Europe,3.88,5.29114,658.0,63.082,49.9105094267778,10546136240.3952
216,Azerbaijan,2016,Central and Eastern Europe,2.65,20.23628,5192.0,55.021,38.6924660572079,37867007022.7844
217,Belarus,2016,Central and Eastern Europe,3.54,31.6923,41107.0,77.661,48.5228912363479,47723549319.0842
218,Bosnia and Herzegovina,2016,Central and Eastern Europe,4.87,11.87153,1142.0,47.518,54.1748786471522,17116926092.3905
219,Bulgaria,2016,Central and Eastern Europe,7.01,30.268008,3434.0,74.329,57.61131473786,53987487124.3421
220,Croatia,2016,Central and Eastern Europe,6.75,15.776593,2160.0,56.403,59.4468768761217,52391038979.0338
221,Estonia,2016,Central and Eastern Europe,7.85,7.881563,2339.0,68.563,60.0342193801611,24072829276.775
222,Georgia,2016,Central and Eastern Europe,5.93,10.48284,3424.0,57.837,61.5043531644157,15141598622.5692
223,Hungary,2016,Central and Eastern Europe,6.72,39.036661,10527.534,70.779,55.4480547863755,128609822750.039
224,Kazakhstan,2016,Central and Eastern Europe,3.06,83.02252,236971.7,57.264,57.857435042574,137278320084.171
225,Kyrgyzstan,2016,Central and Eastern Europe,4.93,10.51692,807.0,35.944,50.1483211681284,6813095396.14317
226,Latvia,2016,Central and Eastern Europe,7.31,6.591053,15873.0,68.021,65.5907669619449,28083597512.4849
227,Lithuania,2016,Central and Eastern Europe,7.47,10.530611,13790.0,67.366,60.9366060491549,43047309305.7375
228,Moldova,2016,Central and Eastern Europe,6.01,5.428,790.0,42.511,53.7937240113846,7982450758.03213
229,Montenegro,2016,Central and Eastern Europe,5.72,2.81212,112.5,66.141,59.5984484392845,4376929571.63114
230,North Macedonia,2016,Central and Eastern Europe,5.23,6.32001,222.0,57.563,53.5495422792727,10672467073.2873
231,Poland,2016,Central and Eastern Europe,6.83,144.484086,50650.0,60.178,54.8663531557491,470024559638.496
232,Romania,2016,Central and Eastern Europe,6.62,47.641488,13535.0,53.9,55.1122937885678,185287615324.922
233,Russia,2016,Central and Eastern Europe,3.24,911.41306,2342589.5,74.164,57.0123251525122,1276786344534.27
234,Serbia,2016,Central and Eastern Europe,6.57,28.859205,3087.0,55.81,50.3152527612622,40692661657.284
235,Slovakia,2016,Central and Eastern Europe,7.29,26.12642,9111.0,53.806,58.5354072297394,89952699524.8965
236,Slovenia,2016,Central and Eastern Europe,7.51,13.15711,4360.0,54.02,56.6683555366033,44766722790.5838
237,Tajikistan,2016,Central and Eastern Europe,1.89,12.959,228.3,26.851,37.1585846399819,6992416096.89018
238,Turkmenistan,2016,Central and Eastern Europe,1.83,15.09196,13327.0,50.728,38.0400180104745,36169428571.4286
239,Ukraine,2016,Central and Eastern Europe,5.7,133.20646,187557.0,69.154,49.9142479962203,93355868977.6619
