,economy,time,NY.GDP.MKTP.CD
507,CEB,YR2009,1289701858873.64
508,CEB,YR2010,1316398490312.28
509,CEB,YR2011,1454558246006.23
510,CEB,YR2012,1358875109415.34
511,CEB,YR2013,1417323424010.04
512,CEB,YR2014,1463549880656.8
513,CEB,YR2015,1293370353419.53
514,CEB,YR2016,1316495750803.65
515,CEB,YR2017,1461216063229.79
516,CEB,YR2018,1648513132166.16
517,CEB,YR2019,1674114230083.25
518,CHE,YR2006,441619409123.416
519,CHE,YR2007,490754683815.144
520,CHE,YR2008,567273005013.434
521,CHE,YR2009,554191679308.884
522,CHE,YR2010,598851028906.58
523,CHE,YR2011,715888126682.396
524,CHE,YR2012,686420221557.99
525,CHE,YR2013,706234937370.968
526,CHE,YR2014,726537808338.0
527,CHE,YR2015,694118186379.628
528,CHE,YR2016,687895460902.713
529,CHE,YR2017,695200833086.499
530,CHE,YR2018,725562534363.895
531,CHE,YR2019,721369112726.724
532,CHI,YR2006,9676172953.08188
533,CHI,YR2007,11514605842.3369
534,CHI,YR2016,9511207129.35458
535,CHI,YR2017,9530244530.24453
536,CHI,YR2018,10422948632.4216
537,CHI,YR2019,10381669645.1366
538,CHL,YR2006,153840051814.059
539,CHL,YR2007,172565861848.899
540,CHL,YR2008,179663390874.653
541,CHL,YR2009,171412643623.963
542,CHL,YR2010,217105434199.5
543,CHL,YR2011,251224856981.294
544,CHL,YR2012,267175870677.659
545,CHL,YR2013,277239473853.807
546,CHL,YR2014,259405194672.935
547,CHL,YR2015,242496655711.515
548,CHL,YR2016,249298706449.182
549,CHL,YR2017,276364936832.331
550,CHL,YR2018,295402646018.151
551,CHL,YR2019,278493308134.096
552,CHN,YR2006,2752118542130.4
553,CHN,YR2007,3550327569655.47
554,CHN,YR2008,4594336785737.67
555,CHN,YR2009,5101691085625.95
556,CHN,YR2010,6087191720866.69
557,CHN,YR2011,7551545321799.88
558,CHN,YR2012,8532185615746.62
559,CHN,YR2013,9570470577244.86
560,CHN,YR2014,10475624783235.6
561,CHN,YR2015,11061573199439.7
562,CHN,YR2016,11233314018690.1
563,CHN,YR2017,12310491176727.3
564,CHN,YR2018,13894907485398.9
565,CHN,YR2019,14279968485748.0
566,CIV,YR2006,25281413268.2525
567,CIV,YR2007,28760090924.2666
568,CIV,YR2008,34078240260.1872
569,CIV,YR2009,33886813225.179
570,CIV,YR2010,34936307964.3213
571,CIV,YR2011,36693710822.2216
572,CIV,YR2012,36302302844.0196
573,CIV,YR2013,42760235496.3898
574,CIV,YR2014,48843005625.0307
575,CIV,YR2015,45815005170.6127
576,CIV,YR2016,48407761031.6758
577,CIV,YR2017,52512344033.9625
578,CIV,YR2018,58522477744.7313
579,CIV,YR2019,59898479821.1946
580,CMR,YR2006,20910512978.1716
581,CMR,YR2007,23928250410.0588
