economy,time,IS.RRS.GOOD.MT.K6
MNG,YR2010,10287.0
MNG,YR2011,11418.0
MNG,YR2012,12143.0
MNG,YR2013,12077.0
MNG,YR2014,12474.0
MNG,YR2015,11462.59
MNG,YR2016,12371.0
MNG,YR2017,13493.0
MNG,YR2019,17384.0
MOZ,YR2006,775.1
MOZ,YR2007,736.3
MOZ,YR2008,717.7
MOZ,YR2009,772.3
MOZ,YR2010,1009.8
MOZ,YR2011,1193.4
MRT,YR2007,7581.6
MRT,YR2008,7565.64
MRT,YR2010,7535.7
MWI,YR2007,33.0
MYS,YR2006,1572.0
MYS,YR2007,1355.2370783025
MYS,YR2008,1350.0
MYS,YR2009,1384.10928416
MYS,YR2010,1482.69
MYS,YR2011,1535.0
MYS,YR2012,1564.0
MYS,YR2013,1760.0
MYS,YR2014,1741.0
MYS,YR2015,1474.0
MYS,YR2016,1349.0
MYS,YR2017,1234.0
MYS,YR2018,1315.0
MYS,YR2019,1141.586432
NAC,YR2006,1464175.0
NAC,YR2007,1466431.0
NAC,YR2008,1464727.5
NAC,YR2009,1265851.5
NAC,YR2010,1400686.5
NAC,YR2011,1436204.5
NAC,YR2012,1434298.5
NAC,YR2013,1463810.0
NAC,YR2014,1558402.5
NAC,YR2015,1480119.0
NAC,YR2016,1355749.5
NAC,YR2017,1432637.5
NAC,YR2018,1485381.662
NAC,YR2019,1401598.7645
NLD,YR2006,6289.0
NLD,YR2007,7216.0
NLD,YR2008,6984.0
NLD,YR2009,5578.0
NLD,YR2010,5925.0
NLD,YR2011,6378.0
NLD,YR2012,6142.0
NLD,YR2013,6078.0
NLD,YR2014,6169.0
NLD,YR2015,6545.0
NLD,YR2016,6641.0
NLD,YR2017,6467.0
NLD,YR2018,7026.0
NLD,YR2019,7080.0
NOR,YR2006,3351.0
NOR,YR2007,3502.0
NOR,YR2008,3622.0
NOR,YR2009,3506.0
NOR,YR2010,3498.0
NOR,YR2011,3574.0
NOR,YR2012,3582.0
NOR,YR2013,3513.0
NOR,YR2014,3682.0
NOR,YR2015,3631.0
NOR,YR2016,3823.0
NOR,YR2017,4040.0
NOR,YR2018,3970.0
NOR,YR2019,3903.0
NZL,YR2006,4312.0
NZL,YR2007,4329.0
NZL,YR2008,4556.0
NZL,YR2009,3962.0
NZL,YR2010,3919.0
NZL,YR2011,4178.0
