economy,time,SP.URB.TOTL.IN.ZS
EAR,YR2018,45.0735164665245
EAR,YR2019,45.4745668405316
EAS,YR2006,47.8214066572091
EAS,YR2007,48.8586200524149
EAS,YR2008,49.898381618332
EAS,YR2009,50.9285819146823
EAS,YR2010,51.9540856381233
EAS,YR2011,52.8824684747964
EAS,YR2012,53.775994456616
EAS,YR2013,54.6637466620364
EAS,YR2014,55.5523143373448
EAS,YR2015,56.438638125563
EAS,YR2016,57.3222060045605
EAS,YR2017,58.1972582891583
EAS,YR2018,59.054742639197
EAS,YR2019,59.8909778915045
ECA,YR2006,65.5398933825914
ECA,YR2007,65.7363344929931
ECA,YR2008,65.9297489770975
ECA,YR2009,66.1227291489325
ECA,YR2010,66.3003781893406
ECA,YR2011,66.4589946078097
ECA,YR2012,66.6149757817389
ECA,YR2013,66.7743241522391
ECA,YR2014,66.9394429226498
ECA,YR2015,67.1097398200633
ECA,YR2016,67.2831322285093
ECA,YR2017,67.4570906751634
ECA,YR2018,67.6301777744292
ECA,YR2019,67.8073047286831
ECS,YR2006,69.9294473647763
ECS,YR2007,70.1460465292904
ECS,YR2008,70.3584801294192
ECS,YR2009,70.5627075719127
ECS,YR2010,70.7581065946481
ECS,YR2011,70.9353389688874
ECS,YR2012,71.1110478325428
ECS,YR2013,71.2838210829806
ECS,YR2014,71.4563058288888
ECS,YR2015,71.6363609729847
ECS,YR2016,71.8217922480359
ECS,YR2017,72.0111433186589
ECS,YR2018,72.2059784659183
ECS,YR2019,72.4072057730198
ECU,YR2006,61.907
ECU,YR2007,62.104
ECU,YR2008,62.3
ECU,YR2009,62.495
ECU,YR2010,62.69
ECU,YR2011,62.851
ECU,YR2012,62.988
ECU,YR2013,63.125
ECU,YR2014,63.261
ECU,YR2015,63.398
ECU,YR2016,63.534
ECU,YR2017,63.67
ECU,YR2018,63.821
ECU,YR2019,63.986
EGY,YR2006,43.073
EGY,YR2007,43.078
EGY,YR2008,43.058
EGY,YR2009,43.039
EGY,YR2010,43.019
EGY,YR2011,43.0
EGY,YR2012,42.946
EGY,YR2013,42.893
EGY,YR2014,42.839
EGY,YR2015,42.785
EGY,YR2016,42.732
EGY,YR2017,42.705
EGY,YR2018,42.704
EGY,YR2019,42.73
EMU,YR2006,74.367707171224
EMU,YR2007,74.5964762656447
EMU,YR2008,74.8229647412585
EMU,YR2009,75.0506429823165
EMU,YR2010,75.2813337200584
EMU,YR2011,75.5085564078464
EMU,YR2012,75.723174804444
EMU,YR2013,75.9285537608131
EMU,YR2014,76.1274356900047
EMU,YR2015,76.3385341710104
EMU,YR2016,76.5521826500544
EMU,YR2017,76.7696076166806
EMU,YR2018,76.9927749642774
EMU,YR2019,77.2316707115529
ERI,YR2006,32.051
ERI,YR2007,33.017
ERI,YR2008,34.0
ERI,YR2009,34.585
ERI,YR2010,35.175
ERI,YR2011,35.771
ERI,YR2012,36.372
ERI,YR2013,36.979
ERI,YR2014,37.59
ERI,YR2015,38.206
ERI,YR2016,38.827
ERI,YR2017,39.451
ERI,YR2018,40.08
ERI,YR2019,40.712
ESP,YR2006,77.502
ESP,YR2007,77.74
ESP,YR2008,77.976
ESP,YR2009,78.21
ESP,YR2010,78.442
ESP,YR2011,78.673
ESP,YR2012,78.902
ESP,YR2013,79.133
ESP,YR2014,79.366
ESP,YR2015,79.602
ESP,YR2016,79.84
ESP,YR2017,80.08
ESP,YR2018,80.321
ESP,YR2019,80.565
EST,YR2006,68.607
EST,YR2007,68.479
EST,YR2008,68.351
EST,YR2009,68.223
EST,YR2010,68.094
EST,YR2011,67.965
EST,YR2012,67.974
EST,YR2013,68.122
EST,YR2014,68.269
EST,YR2015,68.416
EST,YR2016,68.563
EST,YR2017,68.717
EST,YR2018,68.88
EST,YR2019,69.051
ETH,YR2006,15.899
ETH,YR2007,16.116
ETH,YR2008,16.51
ETH,YR2009,16.91
ETH,YR2010,17.319
ETH,YR2011,17.735
ETH,YR2012,18.16
ETH,YR2013,18.575
ETH,YR2014,18.998
ETH,YR2015,19.428
ETH,YR2016,19.866
ETH,YR2017,20.31
ETH,YR2018,20.763
ETH,YR2019,21.225
EUU,YR2006,72.1166407193362
EUU,YR2007,72.3363641760219
EUU,YR2008,72.5549718076482
EUU,YR2009,72.763309658232
EUU,YR2010,72.9721541020641
